ID  объявления;Количество комнат;Тип;Метро;Адрес;Площадь, м2;Дом;Парковка;Цена;Телефоны;Описание;Ремонт;Площадь комнат, м2;Балкон;Окна;Санузел;Можно с детьми/животными;Дополнительно;Название ЖК;Серия дома;Высота потолков, м;Лифт;Мусоропровод;Ссылка на объявление
169894280;2, Изолированная;Квартира;м. Бульвар Дмитрия Донского (10 мин на машине);Москва, улица Брусилова, 27;58.0/33.0/8.0;5/10, Панельный;;25000.0 руб./ За месяц, Залог - 25000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79060877710;ЛЮБАЯ НАЦИОНАЛЬНОСТЬ,ДЛЯ ПЛАТЁЖЕСПОСОБНЫХ,АДЕКВАТНЫХ ЛЮДЕЙ.Сдаётся в новом доме просторная  2х комнатная квартира на Длительный срок.Косметический ремонт. На кухне доделали свежий ремонт.Чисто. Окна пластиковые , балкон остеклён .С/У раздельный ,чистый.На кухне мебель наборная.Мебель минимум( шкаф, два кресла кровати) Бытовая техника есть необходимая( холодильник,стиральная машина, телевизор) Можно с детьми и животным.Готова к заселению. СТРАХОВОЙ РАЗБИВАЮТ,ЦЕНА РЕАЛЬНАЯ.ЭТАЖ УКАЗАН ВЕРНО,ЧИТАЙТЕ ВНИМАТЕЛЬНО.Дом без корпуса!;Косметический;18-15;Лоджия (1);Во двор;Раздельный (1);Можно с детьми, Можно с животными;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Холодильник, Интернет;;;;;Да;https://www.cian.ru/rent/flat/169894280
172197648;2, Изолированная;Квартира;м. Теплый Стан (15 мин на машине);Москва, Десеновское поселение, проспект Нововатутинский, 8;54.0/34.0/10.0;11/12, Панельный;на крыше;25000.0 руб./ За месяц, Залог - 10000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79257721132;СТРОГО СЛАВЯН.... Просмотры   и заселение в любое удобное время.   Риэлтор проживает в Ватутинках Центральных. Огромная просьба звонить только реальным клиентам. Заранее спасибо!!!, 9 фото;Косметический;18-16;Лоджия (1);Во двор;Раздельный (1);Можно с детьми, Можно с животными;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет, Телефон;;;;Пасс (1), Груз (1);Да;https://www.cian.ru/rent/flat/172197648
172610071;2, Изолированная;Квартира;м. Семеновская (10 мин пешком);Москва, улица Бориса Жигуленкова, 1/20;60.0/37.0/10.0;2/5, Кирпичный;наземная;26000.0 руб./ За месяц, Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79857152126;БЕЗ ДЕПОЗИТА !!! Квартира с КОСМЕТИЧЕСКИМ РЕМОНТОМ .Комнаты-изолированные .С/У раздельный-плитка до потолка .Дом-СТАЛИНКА(высокие потолки) .Для приличных людей (СЛАВЯНЕ) .Адекватный собственник ., 10 фото;Косметический;20-17;Балкон (1), Лоджия (1);Во двор;;Можно с детьми;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет, Телефон;;;;;;https://www.cian.ru/rent/flat/172610071
170691662;2;Квартира;м. Раменки (26 мин пешком);Москва, Веерная улица, 3К1;46.0/29.0/7.0;9/9, Панельный;наземная;26000.0 руб./ За месяц, Залог - 26000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79055886399;Сдается на длительный срок 2-комнатная квартира. Квартира светлая, уютная, линейка. Окна во двор. Парковка во дворе стихийная. Рассматриваем строго славян до трех человек., 8 фото;Косметический;18,3-11;;Во двор;Раздельный (1);Можно с детьми;Мебель в комнатах, Мебель на кухне, Ванна, Телевизор, Холодильник;;;2.5;Пасс (1);Да;https://www.cian.ru/rent/flat/170691662
172546022;2, Смежная;Квартира;м. Рязанский проспект (4 мин на машине);Москва, Зарайская улица, 31;45.0/32.0/6.0;2/9, Блочный;;26000.0 руб./ За месяц, Залог - 13000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79262134223;Смотрите Фото. Страховой Депозит - 50%. Квартира с Косметическим Ремонтом. Комнаты Смежные. Пол -Линолеум и Ковролин. Мебель 2000 годов: Диван, Шкафы для Одежды , Письменный Стол, Комод. Телевизор, Холодильник и Стиральная Машина есть. На Кухне -Гарнитур. Санузел Совмещенный. Ванна Сидячая. Есть Гардеробная Комната. Балкона нет Металлическая Дверь. Рассмотрят Славян с российским паспортом: Сем. пару, можно с ребенком школьного возраста. Можно Сем.Пару+Брат (Сестра). Строго Без Животных. Временную Регистрацию хозяйка Не Делает., 18 фото;Косметический;20+12;;Во двор;Совмещенный (1);Можно с детьми;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет, Телефон;;;2.64;Пасс (1);Да;https://www.cian.ru/rent/flat/172546022
168982397;2, Изолированная;Квартира;м. Пражская (15 мин на машине);Москва, Харьковская улица, 8К1;46.0/30.0/6.0;5/9, Панельный;;26000.0 руб./ За месяц, Залог - 13000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79169493513;Славян.Жилое состояние квартиры.Вся необходимая мебель и бытовая техника.Длительней срок аренды., 2 фото;Косметический;18-12;Балкон (1);Во двор;Раздельный (1);Можно с детьми;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет, Телефон;;;;Пасс (3);Да;https://www.cian.ru/rent/flat/168982397
161551092;2, Смежная;Квартира;м. Щелковская (20 мин пешком);Москва, 15-я Парковая улица, 46К1;48.0/30.0/7.0;1/5, Панельный;;26000.0 руб./ За месяц, Залог - 26000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79161525630;Сдается 2-х комнатная квартира после ремонта  , вся необходимая мебель , вся бытовая техника .Сдается на длительный срок ,Залог разбивается ,Развитая инфраструктура,, 22 фото;Косметический;18+12;;Во двор;Совмещенный (1);Можно с детьми, Можно с животными;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет;;;2.64;;;https://www.cian.ru/rent/flat/161551092
166815704;2, Изолированная;Квартира;м. Водный стадион (15 мин пешком);Москва, Кронштадтский бульвар, 55;46.0/30.0/7.0;3/5, Панельный;;26000.0 руб./ За месяц, Залог - 26000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79266188640;После косметического ремонта современная мебель  граждан РФ и славян СНГ можно с детьми срочно показ оперативно торг;Косметический;18-12;Балкон (1);Во двор;Раздельный (1);Можно с детьми;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет, Телефон;;;2.64;;;https://www.cian.ru/rent/flat/166815704
169219854;2;Квартира;м. Жулебино (10 мин на машине);Москва, 2-я Вольская улица, 2;45.0/30.0/6.0;2/9, Панельный;;27000.0 руб./ За месяц, Залог - 27000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79265332035;Елена.Никогда ранее не сдавалась.Атмосфера домашняя в данной квартире.Очень аккуратная,чистая и уютная .Полностью укомплектована мебелью и бытовой техникой.Рассмотрим славян.Ключи на руках., 9 фото;Косметический;;;;Раздельный (1);Можно с детьми;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет;;;;;;https://www.cian.ru/rent/flat/169219854
170722205;2, Изолированная;Квартира;м. Выхино (20 мин на машине);Москва, Некрасовская улица, 9;55.1/28.7/9.0;8/17, Панельный;;27000.0 руб./ За месяц, Залог - 27000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79261478161, +79160584104;СЛАВЯНАМ. Отличная квартира ПОСЛЕ СВЕЖЕГО КОСМЕТИЧЕСКОГО РЕМОНТА, в доме 2008 года постройки, серии ГМС-2001, с высокими потолками. Просторная, тёплая и светлая. Есть застеклённая лоджия ( на неё выход из кухни ) и кладовка ( мини-гардеробная ). Санузел раздельный. Мебель есть частично. Кухонный гарнитур, стенка, письменный стол, пара тумбочек. Но можно освободить квартиру от всей мебели. Есть не большой холодильник. Стиральной машины нет, но могут купить. Покупка спальных мест возможна при не большом повышении арендной ставки. Квартира распашонка, окна выходят во двор и на тихую улицу. Летом вокруг очень много зелени. Во дворе дома расположена школа и детский сад. Рядом много продуктовых магазинов, включая МАГНИТ, АТАК и ПЯТЁРОЧКУ. Сбербанк, аптеки, православный храм с воскресной школой, Дом Культуры, Физкультурно-оздоровительный комплекс Некрасовка, поликлиника и т.д. всё буквально в нескольких минутах пешком от дома. Прекрасное место для жизни с ребёнком, или двумя. Во дворе детская ..., 43 фото;Косметический;17,2-11,5;Лоджия (1);На улицу и двор;Раздельный (1);Можно с детьми, Можно с животными;Мебель на кухне, Ванна, Стиральная машина, Холодильник, Интернет, Телефон;;;3.0;;Да;https://www.cian.ru/rent/flat/170722205
167379656;2, Изолированная;Квартира;м. Выхино (25 мин пешком);Москва, Ферганский проезд, 7К3;48.0/30.0/7.0;7/9, Панельный;;27000.0 руб./ За месяц, Залог - 13500 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79269337334;Залог 13500 рублей. Квартира требует косметического ремонта, в счет арендной платы. Комнаты изолированные. Сан.узел раздельный. Мебель в квартире старая. По желанию можно убрать. Бытовая техника. Сдается на длительный срок. Рассмотрим славян., 8 фото;Косметический;18-12;Балкон (1);Во двор;Раздельный (1);Можно с детьми;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Интернет;;;2.64;Пасс (1);Да;https://www.cian.ru/rent/flat/167379656
172189008;2, Смежная;Квартира;м. Авиамоторная (20 мин пешком);Москва, 2-я Карачаровская улица, 6/16;40.0/24.0/7.0;8/9, Кирпичный;;27000.0 руб./ За месяц, Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79637882788, +79037778277;Квартира пустая , Без залога, в комнатах сделан косметический ремонт, до Ж.д Перово семь минуть пешком. Славян., 3 фото;Косметический;14+10;Балкон (1);Во двор;Раздельный (1);Можно с детьми;Ванна, Телевизор, Интернет, Телефон;;;;;;https://www.cian.ru/rent/flat/172189008
168851645;2, Изолированная;Квартира;м. Бульвар Дмитрия Донского (7 мин на машине);Москва, Варшавское шоссе, 194К2;80.0/46.0/15.0;2/2, Кирпичный;наземная;28000.0 руб./ За месяц, Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79154606021;Предлагается в аренду просторная 2 комнатная квартира. Квартира полностью оборудована всем необходимым для комфортного проживания! Просторная Кухня 15м2 Кухонный гарнитур под единой столешницей. 2х камерный Холодильник. СВЧ. ТВ. Обеденный стол. Сан узел совмещен ЕВРОСТАНДАРТ! Стиральная машина Автомат. Просторный Холл. Комнаты изолированные. Оборудованная Спальная: 2х спальный дива. Шкаф. Комод. Журнальный стол. Окна-Пластик. Пол-Ламинат. Спокойные соседи!, 5 фото;Косметический;22-24;;Во двор;Раздельный (1);Можно с детьми;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет, Телефон;;;2.6;;Да;https://www.cian.ru/rent/flat/168851645
167735181;2, Изолированная;Квартира;м. Лермонтовский проспект (10 мин на машине);Москва, 2-я Вольская улица, 6;65.0/35.0/13.0;6/17, Панельный;наземная;28000.0 руб./ За месяц, Залог - 28000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79161641202;На длительный срок. Просторная квартира с муниципальным ремонтом в современном доме. Комнаты изолированные ( распашонка). Минимум мебели ( нет шкафов). Большая кухня с эркером и посудомоечной машиной. Раздельный санузел. 2 лоджии- остеклены. Удобная транспортная доступность от нескольких станций метро и от ж\д платформы Люберцы. Рассмотрим нанимателей- СЛАВЯН, без домашних животных. Страховой депозит при необходимости поделим на 2 части., 10 фото;Евроремонт;19-16;Лоджия (2);На улицу и двор;Раздельный (1);Можно с детьми;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Посудомоечная машина, Холодильник, Интернет, Телефон;;;2.64;Пасс (1), Груз (1);Да;https://www.cian.ru/rent/flat/167735181
169995825;2;Квартира;м. Выхино (15 мин пешком);Москва, Ферганская улица, 15К1;53.0/33.0/9.0;5/12, Блочный;наземная;28000.0 руб./ За месяц, Залог - 28000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79169844601;Светлая квартира сдается на длительный период. Мебель есть возможность всю вывезти. Интернет)), 7 фото;Косметический;19-14;;На улицу и двор;Раздельный (1);Можно с детьми, Можно с животными;Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Телевизор, Холодильник, Интернет, Телефон;;;2.48;Пасс (1), Груз (1);Да;https://www.cian.ru/rent/flat/169995825
169995638;2, Изолированная;Квартира;м. Выхино (15 мин пешком);Москва, Ферганская улица, 15К1;53.0/33.0/9.0;5/12, Блочный;наземная;28000.0 руб./ За месяц, Залог - 28000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79169844601;Светлая квартира на длительный период. Есть мебель и техника (включая кондиционеры). Интернет:)). Есть возможность вывезти мебель., 7 фото;Косметический;19-14;;На улицу и двор;Раздельный (1);Можно с детьми, Можно с животными;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Телевизор, Холодильник, Интернет, Телефон;;;2.48;Пасс (1), Груз (1);Да;https://www.cian.ru/rent/flat/169995638
170781483;2, Изолированная;Квартира;м. Саларьево (10 мин на машине);Москва, пос. Внуково, Интернациональная улица, 4;55.0/34.0/10.0;5/17, Панельный;наземная;28000.0 руб./ За месяц, Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79854723457;СМОТРИТЕ ФОТО! БЕЗ ЗАЛОГА! ЕВРО РЕМОНТ! Вся мебель, вся бытовая для проживания. На кухне аккуратный гарнитур. СУР ЕВРО. Новая сантехника. Пол ламинат. Стекло пакеты. Застекленная лоджия. Металлическая дверь. Домофон. Хозяева супер. Оперативный показ. Рассмотрим СЛАВЯН., Возможен торг, 11 фото;Евроремонт;20-14;Балкон (1), Лоджия (1);Во двор;Раздельный (1);Можно с детьми;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Посудомоечная машина, Телевизор, Холодильник, Интернет, Телефон;;;2.64;Пасс (1), Груз (1);Да;https://www.cian.ru/rent/flat/170781483
169813529;2, Изолированная;Квартира;м. Выхино (25 мин пешком);Москва, Ферганский проезд, 7К3;47.0/32.0/8.0;1/9, Панельный;наземная;28000.0 руб./ За месяц, Залог - 28000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79258719454, +79032060562;"ВНИМАНИЕ!!! СРОЧНО!!! Сдаётся двухкомнатная квартира после косметического ремонта. Комнаты изолированные. Высокий первый этаж. Застекленный балкон.
В квартире есть все для комфортного проживания. Спальные места, Интернет, ТВ, холодильник, стиральная машинка, домофон, газовая плита. Развитая инфраструктура. Школа, дет.сад, магазины, остановка, в пешей доступности строится  новое метро "" Юго-Восточная"" открытие 2018 году. Рассмотрим  ВСЕХ приличных и платежеспособных граждан РФ. ЗВОНИТЕ!!!, 15 фото";Косметический;18-14;Балкон (1);Во двор;Совмещенный (1);Можно с детьми, Можно с животными;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет;;;2.64;;Да;https://www.cian.ru/rent/flat/169813529
172784023;2, Смежная;Квартира;м. Каховская (19 мин пешком);Москва, Херсонская улица, 6;42.0/33.0/7.0;1/5, Блочный;;28000.0 руб./ За месяц, Залог - 28000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79651326579;Сдается двухкомнатная квартира.Квартира теплая,уютная.Вся мебель для комфортного проживания присутствует,есть гардеробная комната.Вся быт.техника.Рассмотрят клиентов славянской внешности,состав обсуждается.Залог разбивается.Показ в любое время., 13 фото;Косметический;20+13;;Во двор;Совмещенный (1);Можно с детьми;Мебель в комнатах, Мебель на кухне, Стиральная машина, Телевизор, Холодильник, Интернет, Телефон;;;2.64;;;https://www.cian.ru/rent/flat/172784023
170109793;2, Смежная;Квартира;м. Рязанский проспект (10 мин пешком);Москва, улица Паперника, 21;38.0/24.0/7.0;1/5, Кирпичный;;28000.0 руб./ За месяц, Залог - 28000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79269337334;Чистая и уютная квартира. Укомплектована всей необходимой для проживания мебелью и новой бытовой техникой. Кухонный гарнитур. Сан.узел совмещенный. Сдается на длительный срок. Залог разобьем по договоренности на несколько месяцев. Рассмотрим славян., 9 фото;Косметический;18+6;;Во двор;Совмещенный (1);Можно с детьми;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Холодильник, Интернет;;;;;Нет;https://www.cian.ru/rent/flat/170109793
157655973;2, Смежная;Квартира;м. Кузьминки (26 мин пешком);Москва, Волгоградский проспект, 171;44.0/30.0/6.0;5/5, Панельный;;28000.0 руб./ За месяц, Залог - 28000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79269337334;Чистая и уютная квартира. Комнаты смежные. Укомплектована всей необходимой для проживания мебелью и бытовой техникой. Сан.узел совмещенный. Окна-деревянные, пол-паркет, мет. дверь, домофон, интернет. Рассмотрим приличных и платежеспособных граждан., 7 фото;Косметический;18+12;Балкон (1);Во двор;Совмещенный (1);Можно с детьми;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет;;;2.64;;Нет;https://www.cian.ru/rent/flat/157655973
169834383;2, Изолированная;Квартира;м. Царицыно (10 мин на машине);Москва, Лебедянская улица, 32;56.0/30.0/12.0;12/16, Панельный;;28000.0 руб./ За месяц, Залог - 28000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79268099440;Квартира в хорошем жилом состоянии, вся техника и мебель для проживания есть, лоджия застекленная, установлены стеклопакеты. Кухня: наборная кухонная мебель и холодильник. Большая комната: Двухспальная кровать, новый шкаф, тумбочка и ТВ. Маленькая комната: Большой двухспальный диван, шкаф и кресло. В коридоре прихожая, стиральная машина автомат. Звоните, 8 фото;Косметический;16-14;Лоджия (1);На улицу и двор;Раздельный (1);Можно с детьми;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет;;;;;Да;https://www.cian.ru/rent/flat/169834383
